Country,Continent,Date,GDP,GNI,Live births number,Live births rate,Deaths number,Death rate,Rate of increase,Infant deaths number,Infant deaths rate (per 1000 births),Life expectancy at birth male,Life expectancy at birth female,Total fertility rate
Algeria ,Africa,2010,188681,8310,887810,24.7,157000, , , , ,75.6,77, 
Åland Islands,Europe,2009, ,1140,267,9.7,247,9,0.7, , ,79.4,84.1,1.68
Antigua and Barbuda,North America,2010,1118,17900,1255,13.8,491,5.4,8.4,11, ,74,79.7, 
Argentina,South America,2010,446044,17130,756176,18.7,318602,7.9,10.8,8961,11.9,71.6,79.1,2.39
Armenia ,Asia,2007,10248,6100,40105,12.4,26830,8.3,4.1,433,10.8,70.2,76.6,1.42
Australia ,Oceania,2010,1379382,38110,297903,13.4,143473,6.4,6.9,1229,4.1,79.5,84,1.89
Austria ,Europe,2010,417656,42050,78742,9.4,77199,9.2,0.2,307,3.9,77.7,83.2,1.44
Azerbaijan ,Asia,2010,63404,8960,165643,18.3,53580,5.9,12.4,1843,11.1,70.9,76.1, 
Bangladesh,Asia,2010,111879,1940,2868494, ,842095, , ,104591, ,66.7,68.8,2.12
Belarus ,Europe,2010,55132,14460,108050,11.4,137132,14.5,-3.1,429,4,64.6,76.5, 
Bermuda,North America,2010,5765,,769,11.9,475,7.4,4.6, , ,76.9,82.3,1.76
Bolivia (Plurinational State of) ,South America,2011,23949,4890, , , , , , , ,64.6,68.9,3.21
Brazil,South America,2009,2476652,11420,2752401, ,1079228, , ,33713, ,69.7,77.3,1.81
Brunei Darussalam ,Asia,2008,16360,49910,6424,16.1,1091,2.7,13.4,45,7,76.6,79.8,1.7
Bulgaria ,Europe,2010,53514,14160,75513,10,110165,14.6,-4.6,708,9.4,70,77.2,1.49
Canada,North America,2008,1736051,39660,377886,11.3,238617,7.2,4.2,1911,5.1,78.5,83.2,1.68
Chile ,South America,2010,248585,16330, , , , , , , ,75.5,81.5, 
"China, Hong Kong SAR ",Asia,2009,248612,8390,82095,11.7,41175,5.9,5.8,136,1.7,79.7,85.9,1.04
"China, Macao SAR",Asia,2010,36428,8390,5114,9.4,1774,3.3,6.1,15, ,79.5,85.4,1.06
Colombia,South America,2010,333372,9560,639750, ,198314, , ,8186, ,70.7,77.5, 
Costa Rica,North America,2010,40870,11860,70922,15.5,19077,4.2,11.4,671,9.5,76.8,81.8,1.81
Cuba,North America,2007, ,,112472,10,81927,7.3,2.7,592,5.3,76,80,1.43
Cyprus,Asia,2007,24690,30970,8575,10.9,5391,6.9,4.1,32,3.7,78.3,81.9,1.39
Czech Republic ,Europe,2010,217027,24370,117153,11.1,106844,10.2,1,313,2.7,74.4,80.6,1.49
Democratic People's Republic of Korea ,Asia,2008,1116247,24370,345630,14.4,216616,9,5.4,6686,19.3,65.6,72.7,2
Denmark,Europe,2010,333616,41900,63411,11.4,54368,9.8,1.6,216,3.4,77.1,81.2,1.88
Dominica ,North America,2008,484,13000,964,13.5,545,7.6,5.9, , ,73.8,78.2, 
Dominican Republic ,North America,2010,55611,9420,121159, ,34157, , ,480, ,69.2,75.5,2.56
Ecuador,South America,2010,65945,8510,219162, ,61681, , ,3204, ,72.1,78,1.9
Egypt ,Africa,2011,229531,8510,2442094,30.4,493096,6.1,24.2, , ,68.6,71.4, 
Estonia ,Europe,2010,22155,20850,15825,11.8,15790,11.8,0,53,3.3,70.6,80.7,1.64
Faeroe Islands ,Europe,2008,2198,,665,13.7,378,7.8,5.9, , ,76.8,82.3, 
Fiji ,Oceania,2007,3818,4610,19298,23.1, , , , , ,65.3,69.6, 
Finland ,Europe,2009,263011,37670,60163,11.3,49636,9.3,2,158,2.6,76.5,83.1,1.86
France,Europe,2009,2773032,35910,793420,12.7,538116,8.6,4.1,2903,3.7,77.6,84.4, 
French Guiana,South America,2007,2577,35910,6386,30,690,3.2,26.7,77,12.1,75.1,80.8, 
French Polynesia ,Oceania,2010, ,,4579,17.1,1261,4.7,12.4,25, ,73.2,78.3, 
Georgia,Asia,2009,14367,5350,63377,14.4,46625,10.6,3.8,945,14.9,69.9,78.7, 
Germany ,Europe,2011,3600833,40230,662685,8.1,852328,10.4,-2.3,2408,3.6,77.7,82.7, 
Greece ,Europe,2009,289627,25100,117933,10.5,108316,9.6,0.9,371,3.1,77.7,82.8,1.52
Greenland ,North America,2010,1268,,869,15.4,504,8.9,6.5,6, ,67.8,72.8,2.28
Guam,Oceania,2008, ,,3466,19.7,775,4.4,15.3,31,8.9,75.9,82.2, 
Hungary ,Europe,2010,140029,20310,90335,9,130456,13,-4,481,5.3,70.5,78.1,1.26
Iceland ,Europe,2010,14026,31020,4907,15.4,2020,6.4,9.1,11, ,79.5,83.5,2.2
Israel ,Asia,2010,242929,27110,166255,21.8,39624,5.2,16.6,616,3.7,79.7,83.6,3.03
Italy ,Europe,2008,2193971,32400,576659,9.6,578192,9.7,0,1997,3.5,78.8,84.1,1.41
Japan ,Asia,2010,5867154,35330,1071304,8.4,1197012,9.3,-1,2450,2.3,79.6,86.4,1.39
Jordan ,Asia,2007,28840,5930,185011,32.3,20924, , , , ,71.6,74.4,3.6
Kazakhstan,Asia,2008,188050,11250,356575,22.7,152706,9.7,13,7322,20.5,61.9,72.4,2.68
Kyrgyzstan ,Asia,2010,5919,2180,146123,28.1,36174,7,21.2,3337,22.8,65.3,73.5,3.06
Latvia ,Europe,2010,28252,17700,19219,8.6,30040,13.4,-4.8,110,5.7,68.8,78.4,1.18
Lithuania ,Europe,2010,42725,19640,35626,10.8,42120,12.8,-2,153,4.3,68,78.8,1.55
Luxembourg,Europe,2007,59201,64260,5477,11.4,3866,8.1,3.4,10, ,77.6,82.7,1.61
Malawi,Africa,2007,5621,870,626181, ,206527, , , , ,45.7,48.3, 
Maldives,Asia,2010,2050,7430,7115,22.3,1105,3.5,18.8,78,11,72.6,74.4, 
Malta ,Europe,2010,8887,24480,4008,9.6,3010,7.2,2.4,22, ,78.9,83.1,1.37
Martinique,North America,2007, ,,5317,13.4,2830,7.1,6.3,47,8.8,76.5,82.9, 
Mauritius ,Africa,2010,11260,14330,15005,11.7,9131,7.1,4.6,187,12.5,69.5,76.7,1.47
Mexico ,North America,2008,1153343,15390,2243145, ,538288,5, ,29519, ,72.8,77.5,2.1
Mongolia ,Asia,2010,8761,4290,63270,22.9,18293,6.6,16.3,1275,20.2,64.9,72.3,2.39
Myanmar,Asia,2009, ,,948106, ,325343, , ,25782, ,65.5,70.7,2.04
Nepal ,Asia,2008,18884,1260, , , , , , , ,63.6,64.5, 
Netherlands ,Europe,2009,836074,43140,184915,11.2,134235,8.1,3.1,711,3.8,78.5,82.7,1.79
New Caledonia,Oceania,2010, ,,4178,16.7,1191,4.8,11.9,19, ,74.4,80.7, 
New Zealand ,Oceania,2011,159706,28930,61403,13.9,30082,6.8,7.1,290,4.7,79.1,82.8,2.06
Nicaragua,North America,2010,9317,3730, , , , , , , ,63.4,68.9, 
Northern Mariana Islands ,Oceania,2009, ,,1110, , , , , , ,74.5,79.9,2.2
Norway ,Europe,2010,485803,61460,61442,12.6,41499,8.5,4.1,171,2.8,78.9,83.2,1.95
Occupied Palestinian Territory,Asia,2011, ,61460, , , , , , , ,71,73.9, 
Oman,Asia,2008,71782,25720,58280, ,7298, , ,534, ,72.2,75.7,2.61
Pakistan,Asia,2007,210216,2870,3830973,24,1019533,6.4,17.6,288192,75.2,63.6,67.6,3.7
Panama,North America,2010,26778,14510,67955,19.4,16542, , ,910, ,73.4,78.7,2.4
Paraguay,South America,2010,23837,5390, , , , , , , ,69.7,73.9, 
Poland ,Europe,2010,514496,20430,413300,10.8,378478,9.9,0.9,2057,5,72.1,80.6,1.38
Portugal,Europe,2010,237374,24440,101381,9.5,105953,10,-0.4,255,2.5,76.1,82.1, 
Qatar,Asia,2010,172982,86440,19504,11.4,1970,1.1,10.2,132,6.8,78,78.8,2.08
Republic of Korea ,Asia,2010,1116247,86440,470171,9.4,255403,5.1,4.3,1506,3.2,77.2,84.1,1.23
Republic of Moldova ,Europe,2010,7000,86440,40474,11.4,43631,12.2,-0.9,476,11.8,65,73.4,1.31
Réunion,Africa,2009, ,86440,14299,17.5,4109,5,12.5, , ,74.9,82.7, 
Romania ,Europe,2010,179794,15120,212199,9.9,259723,12.1,-2.2,2078,9.8,69.8,77.3,1.33
Russian Federation ,Europe,2009,1857770,20560,1761687,12.4,2010543,14.2,-1.8,14271,8.1,62.8,74.7,1.54
Rwanda,Africa,2009,6375,1270,429065, ,143538, , , , ,49.4,53.3,5.42
Saint Helena ,Africa,2009, ,1270,35,8.5,41,9.9,-1.5, , ,72.5,79.2, 
Saudi Arabia,Asia,2009,576824,24700,601949, ,98289, , ,10409, ,72.5,74.7,3.04
Senegal ,Africa,2011,14291,1940, , , , , , , ,56.9,59.8, 
Serbia ,Europe,2010,45820,11540,68304,9.4,103211,14.2,-4.8,460,6.7,71.4,76.6,1.41
Seychelles,Africa,2011,1007,25140,1625,18.6,691,7.9,10.7,16, ,67.7,78.1,2.38
Singapore ,Asia,2010,239700,59380,37967,7.5,17610,3.5,4,100,2.6,79.3,84.1,1.15
Slovakia ,Europe,2010,95994,22130,60410,11.1,53445,9.8,1.3,344,5.7,71.6,78.8,1.4
Slovenia ,Europe,2010,49539,26510,22343,10.9,18609,9.1,1.8,56,2.5,76.3,82.7,1.57
South Africa,Africa,2009,408237,10710,1000741, ,572673, , , , ,53.5,57.2,2.38
Spain ,Europe,2010,1476882,31400,485252,10.5,381409,8.3,2.3,1531,3.2,78.9,84.9,1.38
Swaziland,Africa,2007,3978,5930,33084,32.4,18367,18,14.4, , ,42.2,43.1, 
Sweden ,Europe,2010,539682,42200,115641,12.3,90487,9.6,2.7,294,2.5,79.5,83.5,1.99
Switzerland ,Europe,2010,659308,52570,80290,10.3,62649,8,2.3,307,3.8,79.9,84.4,1.54
Tajikistan ,Asia,2009,6522,2300,199800, ,32300, , , , ,70.5,75.3, 
TFYR of Macedonia,Europe,2009, ,1500,23684,11.5,19060,9.3,2.3,278,11.7,72.5,76.7,1.52
Tunisia ,Africa,2007,45864,9030,177503,17.4,56741, , , , ,72.3,76.2,2.04
Turkey ,Asia,2009,774983,16940,1254946,17.4,367971, , ,19431,15.5,71.5,76.1,2.12
Ukraine,Europe,2010,165245,7040,497689,10.9,698235,15.3,-4.4,4564,9.2,65.3,75.5,1.43
United Kingdom of Great Britain and Northern Ireland ,Europe,2008,2445408,36010,794383,12.9,579697,9.4,3.5,3745,4.7,77.5,81.7,1.96
United States,North America,2008,14991300,48820,4247694,14,2471984,8.1,5.8,28059,6.6,75.6,80.6,2.09
Uruguay,South America,2008,46710,14640,53199,16,31363,9.4,6.5,504,9.5,72.4,79.7,2.01
Venezuela (Bolivarian Republic of) ,South America,2007,316482,4330,615371,22.4,118594,4.3,18.1,6340,10.3,70.7,76.6,2.58
Viet Nam,Asia,2011,123600,12430, , , , , , , ,70.4,75.8,1.99
